书名,原书名,作者,翻译,出版社,丛书,出版日期,ISBN,页数,定价,标签,阅读状态,豆瓣评分,豆瓣评论人数,豆瓣地址
文明的解析: 人类的艺术与科学成就(公元前800一1950年),,查尔斯·默里 , 胡利平 , 中信出版社,, 2016-6,9787508653952,616,98, 历史,想读,8.1,89,https://book.douban.com/subject/26586649/
宽容: Boni&amp;Liveright 1925 年英文原版译出, Tolerance,[美] 亨德里克·威廉·房龙 , 吴奕俊、陈丽丽 , 江西人民出版社,, 2016-6,9787210084099,328, 49.00元, 房龙 文化 美国,想读,8.4,187,https://book.douban.com/subject/26803904/
内在体验: 无神学大全 第一部,,[法]乔治·巴塔耶 ,, 广西师范大学出版社,, 2016-6,9787549579877,382,, 西方哲学,想读,8.1,228,https://book.douban.com/subject/26774090/
民主的不满: 美国在寻求一种公共哲学, Democracy&#39;s Discontent: America in Search of a Public Philos,[美] 迈克尔·桑德尔 , 曾纪茂 , 中信出版社,见识美国, 2016-8,9787508657677,544, 68.00元, 政治哲学 民主 桑德尔,想读,8.3,247,https://book.douban.com/subject/26683648/
迷信与暴力: 历史中的宣誓、决斗、神判与酷刑, Superstition and Force,[美] 亨利·查尔斯·李 , X. Li , 广西师范大学出版社,法律文化文丛, 2016-7-1,9787549582662,707, 108元, 暴力 世界史,想读,8.2,167,https://book.douban.com/subject/26830154/
契诃夫小说全集,,[俄] 契诃夫 , 汝龙 , 人民文学出版社,, 2016-5,9787020102976,4990,630, 俄罗斯文学,想读,9.7,295,https://book.douban.com/subject/25841074/
查令十字街84号, 84.Charing Cross Road,[美] 海莲·汉芙 , 陈建铭 , 译林出版社,, 2016-5,9787544762885,155, 35.00元, 美国文学 小说,想读,8.1,20893,https://book.douban.com/subject/26768309/
金雀花王朝: 缔造英格兰的武士国王与王后们, The Plantagenets: The Warrior Kings and Queens Who Made England,[英] 丹·琼斯 , 陆大鹏 , 社会科学文献出版社,甲骨文丛书, 2015-8-1,9787509768129,663, 88.00元, 英国史,想读,8.6,2615,https://book.douban.com/subject/26276743/
伊莎贝拉: 武士女王, Isabella: The Warrior Queen,[美] 克斯汀·唐尼 , 陆大鹏 , 社会科学文献出版社·甲骨文,甲骨文丛书, 2016-5,9787509787946,660, 86.00元, 西班牙史,想读,8.7,985,https://book.douban.com/subject/26782506/
伦敦传, London: The Biography,[英国]彼得·阿克罗伊德 , 翁海贞 , 译林出版社,译林·城市故事, 2016-5,9787544760447,696, 118.00元, 社会 历史,想读,7.7,328,https://book.douban.com/subject/26775503/
伤心咖啡馆之歌, The Ballad of the Sad Cafe,[美] 卡森•麦卡勒斯 , 李文俊 , 上海三联书店,麦卡勒斯作品, 2012-9,9787542638632,359, 31.80元, 卡森·麦卡勒斯,想读,8.2,659,https://book.douban.com/subject/11599981/
好人难寻, A GOOD MAN IS HARD TO FIND,[美]弗兰纳里·奥康纳 , 於梅 , 新星出版社,, 2013-1-30,9787513309752,304, 28.00元, 短篇小说 费里纳里-奥康纳,想读,8.5,514,https://book.douban.com/subject/20515146/
中国思想通俗讲话,,钱穆 ,, 生活·读书·新知三联书店,钱穆作品系列, 2002-8,9787108017192,119, 9.00元, 思想史,想读,8.6,945,https://book.douban.com/subject/1025373/
中国哲学史,,冯友兰 ,, 华东师范大学出版社,, 2011-7,9787561783542,569, 72.00元, 中国 哲学史,想读,9,1045,https://book.douban.com/subject/6780545/
一日重生,,(美)米奇·阿尔博姆 , 吴正 , 上海译文出版社,米奇·阿尔博姆作品, 2012-3,9787532756889,248, 26.00元, 外国文学 米奇·阿尔博姆,想读,8.3,451,https://book.douban.com/subject/10473358/
王小波全集,,王小波 ,, 云南人民出版社,王小波全集, 2006-7,9787222047662,275, 288.00元(全十册), 中国文学,想读,9.4,4498,https://book.douban.com/subject/1883991/
毛姆读书随笔,,毛姆 , 刘文荣 , 上海三联书店,世界名人书话系列, 1999-12,9787542612328,259,20, 英国文学 读书随笔,想读,8.6,5354,https://book.douban.com/subject/1016429/
毛姆传: 毛姆的秘密生活, The Secret Lives of Somerset Maugham : A Biography,[英]塞琳娜· 黑斯廷斯 , 赵文伟 , 安徽文艺出版社,, 2015-1,9787539651859,472,48, 英国 传记与回忆录,想读,8.3,1819,https://book.douban.com/subject/26262141/
毛姆短篇小说精选集,,[英] 威廉·萨默塞特·毛姆 , 冯亦代、傅惟慈、陆谷孙 , 译林出版社,, 2012-11,9787544728669,477, 36.00元, 毛姆 英国,想读,9.1,6990,https://book.douban.com/subject/10774752/
草原帝国: 游牧与农耕民族三千年碰撞史,,勒内·格鲁塞 , 李德谋 , 江苏人民出版社,决定经典, 2011-3,9787214068323,329, 48.00元, 人文历史,想读,8.1,122,https://book.douban.com/subject/6129749/
与神对话（第二卷）, Conversations with God Book Two,尼尔•唐纳德•沃尔什 , 李继宏 , 上海书店出版社,与神对话, 2010-8-5,9787545802535,298,35, 哲学,想读,8.3,1230,https://book.douban.com/subject/4874162/
与神对话（第一卷）, Conversations with God Book One,尼尔·唐纳德·沃尔什 , 李继宏 , 上海书店出版社,与神对话, 2009年7月,9787545801026,257, 28.00元,,想读,8.3,6724,https://book.douban.com/subject/3834938/
午夜之子, Midnight&#39;s Children,[英] 萨曼·鲁西迪 , 刘凯芳 , 北京燕山出版社,天下大师·鲁西迪作品, 2015-9,9787540237523,580, 56.00元, 印度文学,想读,8.4,1717,https://book.douban.com/subject/26607924/
格调: 社会等级与生活品味, Class: A Guide through The American Status System,[美] 保罗·福塞尔 , 梁丽真、乐涛、石涛 , 世界图书出版公司,保罗·福塞尔作品系列, 2011-10,9787510039515,310, 32.00元, 社会学 生活品味,想读,7.7,2904,https://book.douban.com/subject/6858527/
查令十字街84号, 84. Charing Cross Road,[美] 海莲·汉芙 , 陈建铭 , 译林出版社,, 2005-05-01,9787806579060,135, 18.00元, 读书 英国 小说,想读,8.3,47612,https://book.douban.com/subject/1316648/
温德先生: 亲历中国六十年的传奇教授,,[美]伯特·斯特恩 , 马小悟、余婉卉 , 北京大学出版社,, 2016-1,9787301260401,376,58, 学者 知识分子 温德,想读,7.1,112,https://book.douban.com/subject/26468042/
竞争与企业家精神, Competition and Entrepreneurship,[美] 伊斯雷尔·柯兹纳 , 刘业进 , 浙江大学出版社,奥地利学派译丛, 2013-4,9787308110921,208, 35.00元, 企业家 经济学,想读,7.5,20,https://book.douban.com/subject/24099329/
通缩之问,,【德】菲利普·巴格斯 , 杨农、熊越 , 清华大学出版社,, 2015-9-1,9787302413653,268,48, 经济学,想读,7.8,25,https://book.douban.com/subject/26606979/
资本及其结构, Capital and Its Structure,Ludwig Lachmann , 刘纽 , 上海财经大学出版社,奥地利学派经济学经典译丛, 2015-11-1,9787564222697,106,36, 奥地利学派,想读,8.4,16,https://book.douban.com/subject/26665311/
人、经济与国家, Man. Economy and State with Power and Market,[美] 穆雷·N. 罗斯巴德 , 董子云、李松、杨震 , 浙江大学出版社,奥地利学派译丛, 2015-7-1,9787308145442,954,118, 经济 奥地利学派,想读,9.2,110,https://book.douban.com/subject/26358478/
货币和信用理论, The theory of Money and Gredit,[奥]路德维希·冯·米塞斯 , 樊林洲 , 商务印书馆,经济学名著译丛, 2015-10,9787100114912,552,52, 米塞斯及其研究,想读,9.1,23,https://book.douban.com/subject/26658421/
人的行为, Human Action: A Treatise on Economics,〔奥〕 路德维希·冯·米塞斯 , 夏道平 , 上海社会科学院出版社,启蒙文库, 2015-9,9787552008494,860, 148.00元, 经济学 社会学,想读,9.1,205,https://book.douban.com/subject/26600395/
世界土地所有制变迁史, Owning the Earth: The Transforming History of Land Ownership,〔英〕 安德罗•林克雷特 , 启蒙编译所 , 上海社会科学院出版社,启蒙文库, 2016-1,9787552010503,496, 79.80元, 文化史 历史,想读,8.5,36,https://book.douban.com/subject/26695132/
百年孤独, Cien años de soledad,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司,新经典文库:加西亚·马尔克斯作品, 2011-6,9787544253994,360, 39.50元, 百年孤独,想读,9.2,222874,https://book.douban.com/subject/6082808/
无所归止: 胡兰成集外集,,胡兰成 , 小北 , 中国长安出版社,胡兰成作品系列, 2016-1,9787510709579,340,48,,想读,7.8,98,https://book.douban.com/subject/26700864/
自卑与超越,,阿尔弗雷德·阿德勒 , 杨颖 , 浙江文艺出版社,, 2016-1-1,9787533943257,272, 32.00元, 心理学,想读,7.3,656,https://book.douban.com/subject/26701308/
如何阅读一本文学书, HOW TO READ LITERATURE LIKE A PROFESSOR,[美] 托马斯·福斯特 , 王爱燕 , 南海出版公司,新经典文库：托马斯·福斯特作品, 2016-2-1,9787544281812,304, 39.50元, 文学 托马斯·福斯特,想读,8.5,1810,https://book.douban.com/subject/26676528/
阅读的乐趣,,[美]艾伦·雅各布斯 , 魏瑞莉 , 译林出版社,, 2015-5,9787544751964,164, 26.00元, 随笔 阅读,想读,7.9,82,https://book.douban.com/subject/26349823/
序跋集, Forewords and Afterwords,[英] W. H. 奥登 , 黄星烨 , 上海译文出版社,奥登文集, 2015-11,9787532770311,687,78, 外国文学,想读,8.6,158,https://book.douban.com/subject/26577699/
雨王亨德森, Henderson the Rain King,索尔·贝娄 , 蓝仁哲 , 上海译文出版社,索尔·贝娄文集, 2006-12,9787532740673,322, 27.00元, 诺贝尔文学奖,想读,7.8,264,https://book.douban.com/subject/1970742/
古典传统: 希腊—罗马对西方文学的影响, THE CLASSICAL TRADITION : Greek and Roman Influences on Western Literature,[美]吉尔伯特·海厄特（Gilbert Highet) , 王晨 , 北京联合出版公司·后浪出版公司,, 2015-10,9787550258402,640, 78.00元, 比较文学,想读,9.5,238,https://book.douban.com/subject/26594676/
1+12:通向常识的道路: 通向常识的道路,,刘苏里 ,, 中国文史出版社,思享家, 2015-8-1,9787503464195,256,39.8, 社会学,想读,8,210,https://book.douban.com/subject/26589233/
我已与一万亿株白桦相逢: 西伯利亚铁路纪行,,胡成 ,, 广东人民出版社,时光机图书, 2015-9,9787218102177,314, 68.00元, 随笔,想读,8.1,1936,https://book.douban.com/subject/26587564/
群山之巅,,迟子建 ,, 人民文学出版社,, 2015-1,9787020106936,336, 35.00元, 迟子建,想读,7.6,3705,https://book.douban.com/subject/26284529/
中国人的教训（上册）,,李国文 ,, 北京大学出版社,, 2015-7-1,9787301253533,358, 48.00元, 借鉴 李国文,想读,7.3,53,https://book.douban.com/subject/26438503/
海风中失落的血色馈赠, The Lost Salt Gift of Blood,[加拿大] 阿利斯泰尔·麦克劳德 , 陈以侃 , 上海文艺出版社,短经典, 2015-6-1,9787532156825,163, CNY 20.00, 加拿大,想读,9.1,6543,https://book.douban.com/subject/26357614/
古道, The Old Ways,[英] 罗伯特·麦克法伦 , 王青松 , 上海译文出版社,行走文学丛书, 2014-12,9787532766505,391,49, 游记 英国,想读,8.2,162,https://book.douban.com/subject/25889953/
24重人格,,[美] 卡梅伦·韦斯特 , 李永平 , 上海译文出版社,, 2013-5,9787532760879,420, 42.00元, 美国 心理小说,想读,7.6,745,https://book.douban.com/subject/22994145/
漫长的告别, The Long Goodbye,[美] 雷蒙德·钱德勒 , 卢肖慧 , 南海出版公司,新经典文库：雷蒙德·钱德勒作品, 2013-7,9787544257152,421, 39.50元, 美国,想读,8.3,5879,https://book.douban.com/subject/24163576/
最重要的事，只有一件, The One Thing,[美] 加里·凯勒、[美]杰伊·帕帕森 , 张宝文 , 中信出版社,, 2015-11,9787508653051,224, 35.00元, 个人管理,想读,7.3,1835,https://book.douban.com/subject/26656532/
林间空地,,[美] 弗罗斯特 , 杨铁军 , 上海文艺出版社,巴别塔诗典, 2015-5,9787532155620,632,66, 罗伯特·弗罗斯特,想读,8.3,193,https://book.douban.com/subject/26298577/
忆昔,,汪曾祺 ,, 北京联合出版公司,, 2014-12,9787550236370,320, 36.00元, 散文,想读,8.8,38,https://book.douban.com/subject/26128730/
为什么读书: 毫无用处的万能文学手册, Pourquoi lire?,[法] 夏尔•丹齐格 , 阎雪梅 , 理想国丨广西师范大学出版社,理想国·书之书, 2012-6,9787549516513,296, 36.00元, 读书,想读,7.1,1148,https://book.douban.com/subject/10679501/
现代精神与儒家传统（杜维明作品系列）: 现代精神与儒家传统,,杜维明 ,, 生活·读书·新知三联书店,杜维明作品系列, 2013-8,9787108043092,538,53, 儒家,想读,7.9,37,https://book.douban.com/subject/25711771/
中国史学名著,,钱穆 ,, 生活·读书·新知三联书店,钱穆作品系列, 2013-4,9787108040732,382, 36.00元, 学术,想读,9.3,121,https://book.douban.com/subject/24377608/
国史新论,,钱穆 ,, 生活·读书·新知三联书店,钱穆作品系列, 2012-10,9787108040879,372, 39.00元, 国史,想读,8.7,119,https://book.douban.com/subject/19978286/
孔子传,,钱穆 ,, 生活·读书·新知三联书店,钱穆作品系列, 2012-7,9787108040404,177, 22.00元, 中文 儒家,想读,8.7,100,https://book.douban.com/subject/11498606/
明夷待访录: 明夷待访录,,[明]黄宗羲、段志强译注 ,, 中华书局,中华思想经典, 2011-1-1,9787101076813,266, 16.00元, 思想史 政治学,想读,8.7,271,https://book.douban.com/subject/5500746/
论语新解,,钱穆 ,, 生活•读书•新知三联书店,钱穆作品系列, 2012-7-1,9787108040411,467, 39.00元, 哲学 经典,想读,9.2,382,https://book.douban.com/subject/11542550/
诗意人生,,莫砺锋 ,, 江苏人民出版社,, 2014-11,9787214133816,, 25.00元, 普及读物 古典文學,想读,8.2,22,https://book.douban.com/subject/26221457/
苏丝黄的世界,,[英] 理查德•梅森（Richard Mason） ,, 湖南文艺出版社,, 2015-9-1,9787540472269,448,, 小说 英国,想读,7.7,535,https://book.douban.com/subject/26593037/
失书记·得书记,,韦力 ,, 广西师范大学出版社,, 2015-8,9787549568826,632, 99.00元, 随笔,想读,8.4,213,https://book.douban.com/subject/26597462/
战国歧途,,刘勃 ,, 新星出版社,, 2015-8,9787513318754,216,28, 战国,想读,8.6,794,https://book.douban.com/subject/26602453/
危机与重构: 唐帝国及其地方诸侯,,李碧妍 ,, 北京师范大学出版社,新史学&amp;多元对话系列, 2015-8-30,9787303183876,572, 79.80元, 中国史 政治史,想读,9.1,976,https://book.douban.com/subject/26603137/
历史学的境界,,高华 ,, 广西师范大学出版社,, 2015-11,9787549571413,279,48, 近代史 中国政治,想读,8.7,1437,https://book.douban.com/subject/26598484/
最好的告别: 关于衰老与死亡，你必须知道的常识, Being Mortal: Medicine and What Matters in the End,[美] 阿图·葛文德（Atul Gawande） , 彭小华 , 浙江人民出版社,湛庐文化·心视界, 2015-7-31,9787213067792,248,49.9, 阿图·葛文德 社会,想读,9,18030,https://book.douban.com/subject/26576861/
追风筝的人, The Kite Runner,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社,卡勒德·胡赛尼作品, 2006-5,9787208061644,362, 29.00元, 外国文学 阿富汗,想读,8.9,511800,https://book.douban.com/subject/1770782/
圣经: 中英对照（和合本·新国际版）标准本,,,, 国际圣经协会,, 1998年8月,9789625130279,2039,, 基督教 圣经,想读,9.4,2846,https://book.douban.com/subject/3034480/
十一种孤独, Eleven Kinds of Loneliness,（美）理查德·耶茨、Richard Yates , 陈新宇 , 上海译文出版社,理查德·耶茨作品系列, 2010-1,9787532749195,245, 20.00元, 美国 孤独,想读,8.2,17969,https://book.douban.com/subject/4105446/
追风筝的人, The Kite Runner,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社,, 2007-7,9787208068216,381, 48.00元, 外国文学,想读,8.8,7108,https://book.douban.com/subject/2154079/
我们的普世文明, The Writer and the World：Essays,(英)V. S. 奈保尔 , 马维达、翟鹏霄 , 南海出版公司,新经典文库:V.S.奈保尔作品, 2014-8,9787544271592,608,59.5, 英国文学 随笔,想读,8.6,184,https://book.douban.com/subject/25887970/
信徒的国度, Among the Believers: An Islamic Journey,[英] V. S. 奈保尔 , 秦於理 , 南海出版公司,新经典文库:V.S.奈保尔作品, 2014-8,9787544271271,528,59.5, V.S.奈保尔,想读,8.4,309,https://book.douban.com/subject/25876615/
岛, The Island,〔英〕维多利亚•希斯洛普 , 陈新宇 , 南海出版公司,, 2015-3-1,9787544277068,400,39.5,,想读,8,229,https://book.douban.com/subject/26331491/
今日如何读旧约：希伯来圣经导论: 希伯来圣经导论, Reading the Old Testament: Introduction to the Hebrew Bible,[美] 巴瑞•班德斯塔 , 林艳 , 华东师范大学出版社,圣经图书馆, 2014-7,9787567518780,548,118, 旧约 基督教,想读,8.7,35,https://book.douban.com/subject/25851119/
神圣的存在: 比较宗教的范型, Patterns in Comparative Religion,【美】米尔恰•伊利亚德 , 晏可佳、姚蓓琴 , 广西师范大学出版社,西方宗教学名著, 2019-7,9787563370139,580, 76.00元, 比较宗教,想读,8.8,200,https://book.douban.com/subject/3174519/
历史的历史: 从远古到20世纪的历史书写, A History of Histories,[英] 约翰•布罗 , 黄煜文 , 广西师范大学出版社,, 2019-7,9787549507078,588, 78.00元, 历史的历史 历史学,想读,8.1,151,https://book.douban.com/subject/11542537/
思想本质: 语言是洞察人类天性之窗, The Stuff of Thought,史蒂芬·平克 (Steven Pinker) , 张旭红、梅德明 , 浙江人民出版社,语言与人性四部曲, 2015-8-1,9787213067990,514, CNY 129.90, 社会学 思维与实践,想读,8.3,362,https://book.douban.com/subject/26593192/
中国的宗教: 儒教与道教, Konfuzianismus und Taoismus,马克斯·韦伯 , 康乐、简惠美 , 广西师范大学出版社,韦伯作品集, 2010-9-1,9787549500468,391, 36.00元, 社会学 Weber,想读,8.5,265,https://book.douban.com/subject/6436043/
晚唐: 九世纪中叶的中国诗歌 (827-860),,[美] 宇文所安 , 贾晋华 , 生活·读书·新知三联书店,宇文所安作品系列, 2011-1-1,9787108035707,556,42, 古典文学 诗歌,想读,8.3,370,https://book.douban.com/subject/5914507/
存在与虚无, L&#39;Etre Et Le Neant,让·保罗·萨特 , 陈宣良 等译、杜小真 校 , 生活·读书·新知三联书店,现代西方学术文库（精装）, 2014-9-1,9787108050984,762, CNY 68.00, 西方哲学 萨特 法国,想读,9.1,393,https://book.douban.com/subject/26107897/
中国大历史,,(美) 黄仁宇 ,, 生活·读书·新知三联书店,黄仁宇作品系列（精装）, 2015-8,9787108053671,349,42, 歷史 我的藏書,想读,8.2,267,https://book.douban.com/subject/26418532/
胡适口述自传: 唐德刚作品集之四,,胡适 口述、唐德刚 译注 ,, 广西师范大学出版社,理想国·唐德刚作品集, 2015-2,9787549562732,336,52, 2015 历史 胡适,想读,8.9,100,https://book.douban.com/subject/26314764/
怎样阅读照片: 理解、阐释、欣赏杰出摄影家的经典作品,,[英]伊安·杰弗里 , 毛卫东 , 浙江摄影出版社,, 2014-8-1,9787551406765,380,138, 照片 攝影 美学 艺术史,想读,8,136,https://book.douban.com/subject/25940387/
蒂凡尼的早餐,,[美] 杜鲁门·卡波特 , 董乐山、朱子仪 , 南海出版公司,新经典文库：杜鲁门·卡波特作品, 2015-5,9787544276221,256,35, 小说 杜鲁门·卡波特,想读,8.2,986,https://book.douban.com/subject/26298561/
逝年如水: 周有光百年口述,,周有光 ,, 浙江大学出版社,, 2015-2-1,9787308141499,487, CNY 88.00, 口述史 周有光,想读,8.8,253,https://book.douban.com/subject/26278990/
悲伤与理智, On Grief and Reason,[美] 约瑟夫·布罗茨基 , 刘文飞 , 上海译文出版社,约瑟夫·布罗茨基作品, 2015-4,9787532768349,592, CNY 58.00, 布罗茨基 外国文学,想读,8.6,2153,https://book.douban.com/subject/26264154/
联邦论, The Federalist Papers,（美）亚历山大·汉密尔顿、詹姆斯·麦迪逊、约翰·杰伊 , 尹宣 , 译林出版社,, 2010-05-01,9787544708821,665, 58.00元, 美国宪法 宪法 法学,想读,9.2,277,https://book.douban.com/subject/4246971/
沈从文九讲,,张新颖 ,, 中华书局,中华聚珍讲堂, 2015-9,9787101111217,344,40, 传记 讲座,想读,8.2,118,https://book.douban.com/subject/26614580/
批评的准备,,张定浩 ,, 北岳文艺出版社,火凤凰新批评文丛, 2015-1,9787537843010,238, 35.00元, 文学批评 张定浩,想读,8.2,92,https://book.douban.com/subject/26313932/
游学生涯,,金克木、张定浩编选 ,, 东方出版中心,大师率性丛书,2008.8,9787801868695,393, 28.00元, 回忆录 中国,想读,8.3,85,https://book.douban.com/subject/3193482/
荆棘鸟, The Thorn Birds,考琳·麦卡洛 , 曾胡 , 译林出版社,经典译林, 2010-7,9787544711609,574, 35.00元, 家族 爱情 小说,想读,8.7,1905,https://book.douban.com/subject/4893071/
爱上浪漫,,【英】阿兰•德波顿（Alain de Botton） , 刘凯芳 , 上海译文出版社,阿兰·德波顿作品双语版, 2012-5,9787532757190,588, 49.00元, 英国小说 小说,想读,8.4,185,https://book.douban.com/subject/10679257/
利维坦, Leviathan,[英] 霍布斯 , 黎思复、黎廷弼 , 商务印书馆,汉译世界学术名著丛书·政治法律社会, 1985-9,9787100017510,578, 35.00元, 英国 霍布斯,想读,8.7,3162,https://book.douban.com/subject/1468426/
爱情笔记, Essays in Love,（英）阿兰·德波顿 , 孟丽 , 上海译文出版社,阿兰·德波顿文集（平装版）, 2004-04-01,9787532733088,248,16, 哲学 英国 阿兰·德波顿,想读,8.2,9323,https://book.douban.com/subject/1079252/
理智与情感,,[英]奥斯丁 , 武崇汉 , 上海译文出版社,奥斯丁文集经典插图本, 2008年5月,9787532744251,374, 26.00元, 英国文学 简·奥斯丁 小说,想读,8.1,1011,https://book.douban.com/subject/3082882/
刺猬的优雅, L&#39;élégance du hérisson,[法] 妙莉叶·芭贝里 , 史妍、刘阳 , 南京大学出版社,精典文库, 2010-02,9787305063428,340, 25.00元, 法国文学 妙莉叶·芭贝里,想读,8.1,11673,https://book.douban.com/subject/3899039/
单向度的人: 发达工业社会意识形态研究,,(美)赫伯特·马尔库塞 , 刘继 , 上海译文出版社,二十世纪西方哲学译丛（新版）,2006.4,9787532739103,234, 20.00元, 法兰克福学派 社会学 文化,想读,8.5,2241,https://book.douban.com/subject/1787729/
宋元學案（全四冊）,,[清] 黃宗羲 原著、[清] 全祖望 補修 , 陳金生、梁運華 點校 , 中華書局,中華書局 學案系列, 1986-12,9787101005370,3335, 248.00元, 黄宗羲 宋元学案,想读,9.3,122,https://book.douban.com/subject/2132341/
文艺心理学,,朱光潜 ,, 复旦大学出版社,, 2005-05,9787309044591,336,23, 文艺心理学 文艺学,想读,8.7,401,https://book.douban.com/subject/1320297/
七宗罪, seven,安东尼·布鲁诺 , 蔡丹青 , 世界图书出版公司,, 2015-11,9787519200039,281,35, 悬疑 好书，值得一读 外国文学,想读,8.3,229,https://book.douban.com/subject/26600656/
马雁诗集,,马雁 ,, 新星出版社,, 2012-4,9787513305624,250, 25.00元, 文学 马雁 中国文学 诗,想读,8.6,980,https://book.douban.com/subject/10522858/
神游: 早期中古时代与十九世纪的行旅写作,,田晓菲 ,, 生活·读书·新知三联书店,文史小悦册, 2015-10-1,9787108053640,288, 39.00元, 田晓菲 魏晋南北朝 文学研究,想读,7.6,134,https://book.douban.com/subject/26418521/
咖喱香肠的诞生, Die Entdeckung der Currywurst,,, 世纪文景/上海人民出版社,, 2015-9,9787208129757,208,32, 女性 德国 乌韦·提姆,想读,8,258,https://book.douban.com/subject/26611925/
宋: 现代的拂晓时辰,,吴钩 , 2015年9月第1版 , 广西师范大学出版社集团有限公司,新民说, 2015-9-23,9787549570492,560, CNY 79.80, 吴钩 中国 新民说,想读,7.1,449,https://book.douban.com/subject/26600157/
奥克诺斯, Ocnos,[西班牙] 路易斯·塞尔努达 , 汪天艾 , 人民文学出版社,, 2015-1,9787020107018,162, 29.00元, 诗歌 塞尔努达 外国文学,想读,9.2,1593,https://book.douban.com/subject/26275572/
太平鬼记,,尚思伽 ,, 南京大学出版社,, 2012-2,9787305089930,301, 26.00元,,想读,7.7,253,https://book.douban.com/subject/10524729/
出轨, A Bit on the Side,[爱尔兰] 威廉·特雷弗 , 杨凌峰 , 上海文艺出版社,短经典, 2015-2,9787532156245,258, 29.00元, 威廉·特雷弗 短篇小说 短经典,想读,8.4,758,https://book.douban.com/subject/26298590/
活出生命的意义, Man&#39;s Search for Meaning,[奥] 维克多·弗兰克 , 吕娜 , 华夏出版社,, 2010-6,9787508058993,204, 29.00元, 心理学 意义疗法,想读,8.6,7807,https://book.douban.com/subject/5330333/
布拉格精神, The Spirit of Prague,[捷克] 伊凡·克里玛 , 崔卫平 , 广西师范大学出版社,, 2015-11-20,9787549568970,320,52,,想读,8.3,552,https://book.douban.com/subject/26436285/
突然，响起一阵敲门声, Suddenly. a Knock on the Door,[以色列] 埃特加·凯雷特 , 楼武挺 , 上海文艺出版社,短经典, 2013-10-25,9787532150694,208,25,,想读,8.2,2489,https://book.douban.com/subject/25724491/
现实与欲望: 塞尔努达流亡前诗全集（1924—1938）, LA REALIDAD Y EL DESEO,[西班牙] 路易斯·塞尔努达 , 汪天艾 , 四川文艺出版社,副本译丛, 2016-1,9787541142062,365,58,,想读,9,853,https://book.douban.com/subject/26631867/
现代性的终结,,[意] 基阿尼·瓦蒂莫 , 杨恒达 , 河南大学出版社,人文科学译丛, 2015-9,9787564919351,300,38,,想读,6.5,31,https://book.douban.com/subject/26359816/
守先待后: 思想、格局与传统,,刘仲敬 ,, 广西师范大学出版社,新民说, 2015-10-8,9787549571130,344, CNY 39.80,,想读,7.8,281,https://book.douban.com/subject/26628659/
在西伯利亚森林中, Dans les Forêts de Sibérie,[法]西尔万· 泰松 , 周佩琼 , 上海文艺出版社,远行译丛, 2015-9,9787532154296,248,49,,想读,7.8,670,https://book.douban.com/subject/26253714/
程序设计语言原理, Concepts of Programming Languages,（美）賽巴斯塔（Sebesta，R.W.） , 张勤.王方矩 , 机械工业出版社,计算机科学丛书, 2008-6-1,9787111239512,514, 75.00元,,想读,8,48,https://book.douban.com/subject/3119946/
斯通纳, Stoner,[美] 约翰·威廉斯 , 杨向荣 , 上海人民出版社,约翰·威廉斯 在文景, 2016-1,9787208130500,336, 49.00元, 文学 美国文学 小说,想读,8.8,25187,https://book.douban.com/subject/26425831/
诗人的生活, Lives of the Poets: A Novella and Six Stories,E.L.多克托罗 , 尚晓进 , 上海文艺出版社,短经典, 2015-6,9787532157211,160,20,,想读,7.7,225,https://book.douban.com/subject/26374682/
酒畔文谭: 你熟悉却又陌生的酒,,三圣小庙 ,, 安徽师范大学出版社,, 2015-2-1,9787567619265,184, CNY 26.00,,想读,8.6,116,https://book.douban.com/subject/26357531/
语言本能: 人类语言进化的奥秘, The Language Instinct：How the Mind Creates Language,[美]史蒂芬·平克 , 欧阳明亮 , 浙江人民出版社,语言与人性四部曲, 2015-5-1,9787213066559,492, 109.90元,,想读,8.5,1017,https://book.douban.com/subject/26380736/
与神对话,,[美]尼尔·唐纳德·沃尔什 , 李继宏 , 江西人民出版社,与神对话, 2015-5,9787210071976,288,48,,想读,8.2,1097,https://book.douban.com/subject/26392337/
当我们阅读时，我们看到了什么, WHAT WE SEE WHEN WE READ,[美] 彼得·门德尔桑德 , 应宁 , 未读·文艺家·北京联合出版公司,, 2015-5,9787550251403,456, 55.00元,,想读,7.5,772,https://book.douban.com/subject/26411095/
读,,(法) 玛格南图片社、读库 编选 , 读库 , 新星出版社,, 2015-8,9787513318792,160,68,,想读,9.3,1132,https://book.douban.com/subject/26602756/
经济学通识,,薛兆丰 ,, 北京大学出版社,, 2015-8,9787301258699,626, 58.00元,,想读,8.2,3374,https://book.douban.com/subject/26582558/
战争论: 全三册, On War,克劳塞维茨(德) , 中国人民解放军军事科学院 , 解放军出版社,外国著名军事著作丛书, 2005-1-1,9787506524773,1211, 79.00元,,想读,8.9,775,https://book.douban.com/subject/1009105/
战争史,,约翰·基根 , 时殷弘 , 商务印书馆,, 2010-1-1,9787100054867,587, 38.00元,,想读,5.8,67,https://book.douban.com/subject/4736279/
